Name;Activations;Fulfilments;Violations;Vacuous Fulfilments;Vacuous Violations
A;28;26;2;10;0
AA;11;10;1;15;0
AAA;16;15;1;10;0
AB;11;10;1;15;0
ABA;23;22;1;10;0
AC;18;17;1;10;0
ACA;11;11;0;15;0
AD;32;31;1;10;0
ADA;30;29;1;10;0
AE;21;20;1;10;0
AEA;11;10;1;15;0
AF;22;21;1;10;0
AFA;19;17;2;11;0
AG;10;6;4;16;0
AGA;20;19;1;10;0
AH;18;17;1;10;0
AHA;18;18;0;10;0
AI;20;19;1;10;0
AIA;21;19;2;10;0
AJ;30;29;1;10;0
AJA;10;8;2;16;0
AK;13;12;1;15;0
AKA;8;6;2;18;0
AL;23;22;1;10;0
ALA;17;17;0;10;0
AM;10;8;2;16;0
AMA;17;15;2;11;0
AN;11;10;1;15;0
ANA;17;15;2;11;0
AO;14;12;2;12;0
AP;13;13;0;15;0
AQ;20;19;1;10;0
AR;28;28;0;10;0
AS;28;27;1;10;0
AT;11;11;0;15;0
AU;18;18;0;10;0
AV;16;15;1;10;0
AW;11;10;1;15;0
AX;11;10;1;15;0
AY;30;28;2;10;0
AZ;20;19;1;10;0
B;18;17;1;10;0
BA;18;18;0;10;0
BAA;18;17;1;10;0
BB;11;10;1;15;0
BBA;19;18;1;10;0
BC;10;8;2;16;0
BCA;25;24;1;10;0
BD;18;17;1;10;0
BDA;17;16;1;10;0
BE;19;18;1;10;0
BEA;11;6;5;15;0
BF;18;18;0;10;0
BFA;25;22;3;10;0
BG;17;15;2;11;0
BGA;18;16;2;10;0
BH;24;23;1;10;0
BHA;20;20;0;10;0
BI;16;14;2;10;0
BIA;40;38;2;10;0
BJ;26;26;0;10;0
BJA;20;19;1;10;0
BK;18;18;0;10;0
BKA;23;22;1;10;0
BL;16;14;2;11;0
BLA;25;24;1;10;0
BM;15;13;2;11;0
BMA;17;16;1;10;0
BN;32;31;1;10;0
BNA;15;13;2;11;0
BO;11;10;1;15;0
BP;28;26;2;10;0
BQ;18;17;1;10;0
BR;16;16;0;10;0
BS;19;19;0;10;0
BT;18;17;1;10;0
BU;20;20;0;10;0
BV;21;20;1;10;0
BW;25;24;1;10;0
BX;22;21;1;10;0
BY;11;10;1;15;0
BZ;30;29;1;10;0
C;19;18;1;11;0
CA;11;11;0;15;0
CAA;11;11;0;15;0
CB;19;18;1;10;0
CBA;25;24;1;10;0
CC;18;18;0;10;0
CCA;11;10;1;15;0
CD;11;10;1;15;0
CDA;8;6;2;18;0
CE;16;15;1;10;0
CEA;20;19;1;10;0
CF;33;32;1;10;0
CFA;24;23;1;10;0
CG;21;20;1;10;0
CGA;15;13;2;11;0
CH;16;16;0;10;0
CHA;18;17;1;10;0
