Name;Insertions;Deletions;Fitness
A;1;0;0.98
AA;0;0;1.00
AAA;0;0;1.00
AB;0;0;1.00
ABA;0;0;1.00
AC;0;0;1.00
ACA;0;0;1.00
AD;0;0;1.00
ADA;0;0;1.00
AE;0;0;1.00
AEA;0;0;1.00
AF;0;0;1.00
AFA;1;0;0.96
AG;0;1;0.89
AGA;0;0;1.00
AH;0;0;1.00
AHA;0;0;1.00
AI;0;0;1.00
AIA;1;0;0.97
AJ;0;0;1.00
AJA;0;1;0.89
AK;0;0;1.00
AKA;0;1;0.80
AL;1;0;0.97
ALA;0;0;1.00
AM;0;1;0.89
AMA;0;1;0.94
AN;0;0;1.00
ANA;0;1;0.94
AO;0;1;0.92
AP;0;0;1.00
AQ;0;0;1.00
AR;0;0;1.00
AS;0;0;1.00
AT;0;0;1.00
AU;0;0;1.00
AV;1;0;0.95
AW;0;0;1.00
AX;1;0;0.92
AY;0;1;0.98
AZ;0;0;1.00
B;1;0;0.96
BA;0;0;1.00
BAA;0;0;1.00
BB;1;0;0.92
BBA;0;0;1.00
BC;0;1;0.89
BCA;0;0;1.00
BD;0;0;1.00
BDA;0;0;1.00
BE;0;0;1.00
BEA;2;0;0.89
BF;0;0;1.00
BFA;1;0;0.98
BG;0;1;0.95
BGA;1;0;0.96
BH;0;0;1.00
BHA;0;0;1.00
BI;0;0;1.00
BIA;0;1;0.99
BJ;0;0;1.00
BJA;0;0;1.00
BK;0;0;1.00
BKA;0;0;1.00
BL;1;0;0.96
BLA;0;0;1.00
BM;1;0;0.95
BMA;0;0;1.00
BN;0;0;1.00
BNA;0;1;0.92
BO;1;0;0.92
BP;1;0;0.98
BQ;0;0;1.00
BR;0;0;1.00
BS;0;0;1.00
BT;0;0;1.00
BU;0;0;1.00
BV;0;0;1.00
BW;0;0;1.00
BX;1;0;0.97
BY;1;0;0.92
BZ;0;0;1.00
C;1;0;0.97
CA;0;0;1.00
CAA;0;0;1.00
CB;0;0;1.00
CBA;0;0;1.00
CC;0;0;1.00
CCA;0;0;1.00
CD;0;0;1.00
CDA;0;1;0.80
CE;0;0;1.00
CEA;1;0;0.97
CF;0;0;1.00
CFA;0;0;1.00
CG;0;0;1.00
CGA;1;0;0.95
CH;0;0;1.00
CHA;0;0;1.00
CI;0;0;1.00
CIA;0;1;0.89
CJ;1;0;0.98
CJA;0;1;0.93
CK;0;1;0.89
CKA;0;0;1.00
CL;0;1;0.86
CLA;1;0;0.94
CM;0;0;1.00
CMA;0;0;1.00
CN;0;0;1.00
CNA;0;1;0.97
CO;1;0;0.94
CP;0;0;1.00
CQ;0;1;0.96
CR;0;0;1.00
CS;0;0;1.00
CT;0;0;1.00
CU;1;0;0.96
CV;0;0;1.00
CW;1;0;0.97
CX;0;0;1.00
CY;0;0;1.00
CZ;0;0;1.00
D;0;0;1.00
DA;0;0;1.00
DAA;1;0;0.97
DB;0;0;1.00
DBA;1;0;0.97
DC;0;0;1.00
DCA;0;0;1.00
DD;1;0;0.94
DDA;0;0;1.00
DE;0;1;0.89
DEA;0;0;1.00
DF;0;1;0.89
DFA;0;1;0.95
DG;0;0;1.00
DGA;0;0;1.00
DH;1;0;0.97
DHA;0;1;0.93
DI;0;0;1.00
DIA;0;1;0.89
DJ;0;0;1.00
DJA;1;0;0.95
DK;1;0;0.96
DKA;1;0;0.97
DL;0;0;1.00
DLA;1;0;0.94
DM;1;0;0.94
DMA;0;1;0.80
DN;0;1;0.89
DNA;0;0;1.00
DO;1;0;0.97
DP;0;0;1.00
DQ;0;0;1.00
DR;0;0;1.00
DS;0;1;0.97
DT;1;0;0.95
DU;0;0;1.00
DV;0;0;1.00
DW;1;0;0.96
DX;2;0;0.93
DY;0;0;1.00
DZ;0;0;1.00
E;0;0;1.00
EA;0;0;1.00
EAA;1;0;0.97
EB;0;0;1.00
EBA;0;0;1.00
EC;0;0;1.00
ECA;0;0;1.00
ED;0;0;1.00
EDA;0;0;1.00
EE;0;1;0.92
EEA;0;0;1.00
EF;1;0;0.97
EFA;1;0;0.92
EG;0;1;0.89
EGA;0;0;1.00
EH;0;0;1.00
EHA;0;0;1.00
EI;0;0;1.00
EIA;0;0;1.00
EJ;1;0;0.96
EJA;1;0;0.95
EK;0;0;1.00
EKA;0;0;1.00
EL;0;0;1.00
ELA;1;0;0.98
EM;0;0;1.00
EMA;0;0;1.00
EN;0;0;1.00
ENA;0;1;0.89
EO;0;0;1.00
EP;0;0;1.00
EQ;0;0;1.00
ER;0;0;1.00
ES;0;0;1.00
ET;0;0;1.00
EU;0;0;1.00
EV;0;0;1.00
EW;0;0;1.00
EX;0;0;1.00
EY;1;0;0.96
EZ;1;0;0.92
F;0;0;1.00
FA;1;0;0.94
FAA;0;0;1.00
FB;0;0;1.00
FBA;0;1;0.95
FC;0;1;0.92
FCA;0;0;1.00
FD;0;0;1.00
FDA;0;0;1.00
FE;0;1;0.97
FEA;1;0;0.95
FF;0;0;1.00
FFA;0;1;0.80
FG;0;0;1.00
FGA;0;0;1.00
FH;0;0;1.00
FHA;0;0;1.00
FI;0;0;1.00
FIA;1;0;0.96
FJ;1;0;0.96
FJA;0;0;1.00
FK;0;0;1.00
FKA;1;0;0.96
FL;0;0;1.00
FLA;0;1;0.89
FM;0;1;0.97
FMA;1;0;0.96
FN;0;0;1.00
FNA;0;0;1.00
FO;0;0;1.00
FP;1;0;0.92
FQ;0;1;0.93
FR;0;0;1.00
FS;1;0;0.92
FT;0;0;1.00
FU;1;0;0.96
FV;0;0;1.00
FW;1;0;0.98
FX;0;0;1.00
FY;1;0;0.97
FZ;0;0;1.00
G;0;0;1.00
GA;0;0;1.00
GAA;0;0;1.00
GB;1;0;0.96
GBA;0;0;1.00
GC;0;0;1.00
GCA;0;0;1.00
GD;0;0;1.00
GDA;0;1;0.94
GE;0;0;1.00
GEA;0;0;1.00
GF;0;0;1.00
GFA;0;0;1.00
GG;1;0;0.97
GGA;0;0;1.00
GH;1;0;0.94
GHA;0;0;1.00
GI;0;1;0.96
GIA;0;0;1.00
GJ;0;0;1.00
GJA;0;0;1.00
GK;1;0;0.99
GKA;1;0;0.92
GL;0;0;1.00
GLA;0;0;1.00
GM;0;0;1.00
GMA;0;1;0.96
GN;0;0;1.00
GNA;0;0;1.00
GO;0;0;1.00
GP;1;0;0.95
GQ;0;0;1.00
GR;0;1;0.89
GS;0;1;0.97
GT;1;0;0.98
GU;1;0;0.97
GV;0;0;1.00
GW;1;1;0.91
GX;0;1;0.97
GY;1;0;0.96
GZ;0;1;0.89
H;1;0;0.96
HA;0;1;0.95
HAA;0;0;1.00
HB;0;0;1.00
HBA;0;0;1.00
HC;0;1;0.89
HCA;0;0;1.00
HD;0;0;1.00
HDA;0;0;1.00
HE;0;0;1.00
HEA;0;0;1.00
HF;0;0;1.00
HFA;0;0;1.00
HG;0;0;1.00
HGA;0;0;1.00
HH;0;0;1.00
HHA;0;0;1.00
HI;1;0;0.95
HIA;0;0;1.00
HJ;0;0;1.00
HJA;0;0;1.00
HK;0;0;1.00
HKA;0;0;1.00
HL;0;0;1.00
HLA;0;0;1.00
HM;1;1;0.93
HMA;0;1;0.80
HN;0;0;1.00
HNA;0;0;1.00
HO;0;0;1.00
HP;1;0;0.96
HQ;0;0;1.00
HR;0;0;1.00
HS;0;0;1.00
HT;0;0;1.00
HU;0;1;0.80
HV;1;0;0.97
HW;0;2;0.80
HX;0;0;1.00
HY;0;0;1.00
HZ;0;0;1.00
I;0;0;1.00
IA;0;1;0.93
IAA;1;0;0.95
IB;1;0;0.97
IBA;0;0;1.00
IC;1;0;0.96
ICA;0;1;0.89
ID;0;1;0.80
IDA;0;0;1.00
IE;0;1;0.92
IEA;0;0;1.00
IF;1;0;0.97
IFA;0;0;1.00
IG;0;1;0.97
IGA;0;0;1.00
IH;0;0;1.00
IHA;0;0;1.00
II;1;0;0.96
IIA;0;0;1.00
IJ;0;0;1.00
IJA;0;0;1.00
IK;1;0;0.92
IKA;1;0;0.94
IL;0;0;1.00
ILA;0;0;1.00
IM;0;1;0.99
IMA;0;1;0.89
IN;0;0;1.00
INA;0;1;0.80
IO;0;0;1.00
IP;1;0;0.97
IQ;0;0;1.00
IR;0;1;0.94
IS;0;0;1.00
IT;0;0;1.00
IU;0;0;1.00
IV;0;0;1.00
IW;0;1;0.96
IX;0;0;1.00
IY;0;0;1.00
IZ;0;1;0.92
J;0;0;1.00
JA;0;1;0.96
JAA;0;1;0.98
JB;0;0;1.00
JBA;1;0;0.94
JC;0;0;1.00
JCA;0;0;1.00
JD;1;0;0.97
JDA;1;0;0.94
JE;0;0;1.00
JEA;0;0;1.00
JF;0;0;1.00
JFA;0;1;0.93
JG;0;0;1.00
JGA;1;0;0.94
JH;0;1;0.96
JHA;0;1;0.92
JI;0;0;1.00
JIA;2;0;0.90
JJ;0;0;1.00
JJA;1;0;0.95
JK;0;0;1.00
JKA;0;0;1.00
JL;0;0;1.00
JLA;1;0;0.98
JM;1;0;0.96
JMA;0;1;0.97
JN;1;0;0.96
JNA;0;1;0.80
JO;0;0;1.00
JP;0;1;0.89
JQ;1;0;0.97
JR;0;0;1.00
JS;1;0;0.99
JT;0;0;1.00
JU;1;0;0.97
JV;0;0;1.00
JW;0;0;1.00
JX;0;0;1.00
JY;1;0;0.97
JZ;0;0;1.00
K;0;0;1.00
KA;0;0;1.00
KAA;0;1;0.89
KB;0;0;1.00
KBA;0;0;1.00
KC;0;0;1.00
KCA;1;0;0.96
KD;0;1;0.97
KDA;0;1;0.80
KE;0;0;1.00
KEA;0;0;1.00
KF;0;0;1.00
KFA;0;0;1.00
KG;1;0;0.97
KGA;0;1;0.91
KH;0;0;1.00
KHA;0;0;1.00
KI;1;0;0.97
KIA;0;0;1.00
KJ;0;0;1.00
KJA;1;1;0.80
KK;1;0;0.97
KKA;0;0;1.00
KL;0;1;0.89
KLA;0;0;1.00
KM;0;0;1.00
KMA;0;0;1.00
KN;0;0;1.00
KNA;0;0;1.00
KO;1;0;0.97
KP;1;0;0.95
KQ;0;1;0.95
KR;0;0;1.00
KS;0;0;1.00
KT;0;0;1.00
KU;0;0;1.00
KV;0;1;0.93
KW;0;0;1.00
KX;1;0;0.98
KY;0;1;0.89
KZ;0;0;1.00
L;0;0;1.00
LA;0;1;0.89
LAA;0;0;1.00
LB;1;0;0.97
LBA;0;0;1.00
LC;0;0;1.00
LCA;0;0;1.00
LD;0;0;1.00
LDA;0;0;1.00
LE;0;0;1.00
LEA;0;0;1.00
LF;0;1;0.89
