Name;Activations;Fulfilments;Violations;Vacuous Fulfilments;Vacuous Violations
A;58;48;10;2;0
AA;26;25;1;4;0
AAA;29;28;1;1;0
AB;26;25;1;4;0
ABA;46;41;5;2;0
AC;34;32;2;1;0
ACA;26;26;0;4;0
AD;65;53;12;0;0
ADA;61;54;7;2;0
AE;42;39;3;0;0
AEA;27;26;1;3;0
AF;44;37;7;1;0
AFA;35;34;1;3;0
AG;22;16;6;8;0
AGA;39;36;3;2;0
AH;32;30;2;3;0
AHA;33;32;1;2;0
AI;39;36;3;1;0
AIA;45;38;7;1;0
AJ;65;56;9;2;0
AJA;22;16;6;8;0
AK;32;30;2;3;0
AKA;17;10;7;9;2
AL;48;44;4;1;0
ALA;31;30;1;2;0
AM;22;22;0;8;0
AMA;29;28;1;6;0
AN;26;25;1;4;0
ANA;29;28;1;6;0
AO;23;20;3;5;1
AP;32;31;1;3;0
AQ;38;35;3;2;0
AR;59;53;6;1;0
AS;52;41;11;3;0
AT;26;26;0;4;0
AU;33;32;1;2;0
AV;28;22;6;2;0
AW;25;24;1;5;0
AX;23;23;0;7;0
AY;59;51;8;6;0
AZ;39;36;3;2;0
B;32;30;2;2;0
BA;34;33;1;1;0
BAA;33;31;2;2;0
BB;23;23;0;7;0
BBA;36;34;2;2;0
BC;22;22;0;8;0
BCA;45;37;8;3;0
BD;33;31;2;2;0
BDA;32;30;2;2;0
BE;38;35;3;1;0
BEA;26;15;11;4;0
BF;34;33;1;1;0
BFA;49;39;10;2;0
BG;31;29;2;6;0
BGA;33;28;5;2;0
BH;50;42;8;2;0
BHA;39;37;2;2;0
BI;27;24;3;4;0
BIA;80;61;19;0;0
BJ;49;42;7;1;0
BJA;41;35;6;1;0
BK;34;33;1;1;0
BKA;46;42;4;1;0
BL;30;26;4;4;0
BLA;52;46;6;1;0
BM;26;23;3;4;0
BMA;31;30;1;1;0
BN;67;59;8;2;0
BNA;24;24;0;6;0
BO;23;23;0;7;0
BP;54;45;9;4;0
BQ;33;31;2;2;0
BR;29;29;0;1;0
BS;33;33;0;3;0
BT;34;32;2;1;0
BU;38;36;2;2;0
BV;40;37;3;2;0
BW;52;41;11;2;0
BX;44;40;4;1;0
BY;23;23;0;7;0
BZ;63;55;8;3;0
C;38;36;2;3;0
CA;26;26;0;4;0
CAA;26;24;2;4;0
CB;36;34;2;2;0
CBA;47;37;10;2;0
CC;34;33;1;2;0
CCA;26;25;1;4;0
CD;26;25;1;4;0
CDA;17;10;7;9;2
CE;29;28;1;2;0
CEA;37;35;2;2;0
CF;70;61;9;2;0
