Name;Activations;Fulfilments;Violations;Vacuous Fulfilments;Vacuous Violations
A;52;48;4;2;0
AA;26;25;1;4;0
AAA;29;28;1;1;0
AB;26;25;1;4;0
ABA;42;41;1;2;0
AC;33;32;1;1;0
ACA;26;26;0;4;0
AD;59;53;6;0;0
ADA;55;54;1;2;0
AE;40;39;1;0;0
AEA;27;26;1;3;0
AF;41;38;3;1;0
AFA;35;33;2;3;0
AG;23;16;7;7;0
AGA;37;36;1;2;0
AH;31;30;1;3;0
AHA;32;32;0;2;0
AI;37;36;1;1;0
AIA;40;38;2;1;0
AJ;57;56;1;2;0
AJA;23;16;7;7;0
AK;31;30;1;3;0
AKA;19;10;9;7;2
AL;44;43;1;1;0
ALA;30;30;0;2;0
AM;23;21;2;7;0
AMA;29;27;2;5;0
AN;26;25;1;4;0
ANA;29;27;2;5;0
AO;24;19;5;4;1
AP;31;31;0;3;0
AQ;36;35;1;2;0
AR;53;53;0;1;0
AS;47;41;6;3;0
AT;26;26;0;4;0
AU;32;32;0;2;0
AV;28;22;6;2;0
AW;25;24;1;5;0
AX;24;23;1;6;0
AY;53;51;2;5;0
AZ;37;36;1;2;0
B;32;30;2;2;0
BA;33;33;0;1;0
BAA;32;31;1;2;0
BB;24;23;1;6;0
BBA;35;34;1;2;0
BC;23;21;2;7;0
BCA;42;37;5;3;0
BD;32;31;1;2;0
BDA;31;30;1;2;0
BE;36;35;1;1;0
BEA;26;15;11;4;0
BF;33;33;0;1;0
BFA;45;39;6;2;0
BG;30;28;2;5;0
BGA;32;28;4;2;0
BH;46;42;4;2;0
BHA;37;37;0;2;0
BI;27;24;3;4;0
BIA;71;61;10;0;0
BJ;46;42;4;1;0
BJA;39;35;4;1;0
BK;33;33;0;1;0
BKA;43;42;1;1;0
BL;30;25;5;4;0
BLA;47;46;1;1;0
BM;26;23;3;4;0
BMA;31;30;1;1;0
BN;60;59;1;2;0
BNA;25;23;2;5;0
BO;24;23;1;6;0
BP;50;45;5;3;0
BQ;32;31;1;2;0
BR;29;29;0;1;0
BS;33;33;0;3;0
BT;33;32;1;1;0
BU;36;36;0;2;0
BV;38;37;1;2;0
BW;47;41;6;2;0
BX;41;40;1;1;0
BY;24;23;1;6;0
BZ;56;55;1;3;0
C;36;35;1;3;0
CA;26;26;0;4;0
CAA;26;24;2;4;0
CB;35;34;1;2;0
CBA;45;37;8;2;0
CC;33;33;0;2;0
CCA;26;25;1;4;0
CD;26;25;1;4;0
CDA;19;10;9;7;2
CE;29;28;1;2;0
CEA;36;35;1;2;0
CF;62;61;1;2;0
CFA;44;43;1;3;0
CG;38;37;1;2;0
CGA;27;25;2;4;0
CH;27;27;0;3;0
CHA;33;32;1;1;0
CI;33;33;0;2;0
CIA;23;21;2;7;0
CJ;53;45;8;3;0
CJA;27;25;2;5;0
CK;23;21;2;7;0
CKA;40;36;4;2;0
CL;21;16;5;7;1
CLA;26;23;3;4;0
CM;38;37;1;3;0
CMA;26;25;1;4;0
CN;28;28;0;3;0
CNA;44;42;2;4;0
CO;26;20;6;4;0
CP;36;36;0;3;0
CQ;33;29;4;2;0
CR;41;40;1;1;0
CS;25;24;1;5;0
CT;32;31;1;2;0
CU;31;30;1;3;0
CV;32;32;0;2;0
CW;37;34;3;2;0
CX;36;35;1;3;0
CY;67;59;8;2;0
CZ;77;67;10;2;0
D;33;33;0;1;0
DA;31;30;1;3;0
DAA;40;39;1;2;0
DB;32;31;1;2;0
DBA;35;34;1;2;0
DC;31;31;0;1;0
DCA;33;32;1;1;0
DD;25;24;1;5;0
DDA;42;42;0;2;0
DE;23;21;2;7;0
DEA;35;34;1;2;0
DF;23;20;3;7;0
DFA;30;28;2;5;0
DG;32;31;1;2;0
DGA;42;42;0;3;0
DH;38;36;2;2;0
DHA;26;24;2;6;0
DI;32;31;1;2;0
DIA;23;21;2;7;0
DJ;49;44;5;0;0
DJA;27;26;1;3;0
DK;33;30;3;1;0
DKA;34;32;2;1;0
DL;30;29;1;2;0
DLA;26;23;3;4;0
DM;26;23;3;4;0
DMA;19;10;9;7;2
DN;23;21;2;7;0
DNA;26;25;1;4;0
DO;38;37;1;1;0
DP;36;36;0;2;0
DQ;26;25;1;4;0
DR;37;36;1;2;0
DS;37;36;1;2;0
DT;27;26;1;4;0
DU;27;26;1;3;0
DV;26;25;1;4;0
DW;33;32;1;2;0
DX;34;28;6;2;0
DY;35;34;1;2;0
DZ;65;56;9;1;0
E;26;26;0;4;0
EA;36;35;1;1;0
EAA;37;36;1;5;0
EB;26;25;1;4;0
EBA;32;31;1;2;0
EC;42;41;1;2;0
ECA;43;39;4;1;0
ED;70;65;5;1;0
EDA;31;30;1;1;0
EE;25;23;2;5;0
EEA;33;33;0;1;0
EF;36;33;3;2;0
EFA;24;23;1;6;0
EG;23;20;3;7;0
EGA;33;32;1;2;0
EH;28;27;1;2;0
EHA;62;55;7;1;0
EI;34;33;1;3;0
EIA;31;30;1;1;0
EJ;31;29;2;3;0
EJA;27;21;6;3;0
EK;43;38;5;2;0
EKA;36;36;0;2;0
EL;35;35;0;2;0
ELA;46;42;4;2;0
EM;60;54;6;0;0
EMA;41;41;0;1;0
EN;26;25;1;4;0
ENA;23;21;2;7;0
EO;37;37;0;1;0
EP;26;25;1;4;0
EQ;66;65;1;1;0
ER;26;26;0;4;0
ES;95;86;9;0;0
ET;28;27;1;2;0
EU;35;35;0;1;0
EV;30;29;1;4;0
EW;53;52;1;2;0
EX;52;47;5;2;0
EY;32;30;2;4;0
EZ;24;23;1;6;0
F;28;27;1;2;0
FA;26;23;3;4;0
FAA;39;38;1;1;0
FB;26;26;0;4;0
FBA;30;28;2;4;0
FC;25;23;2;5;0
FCA;37;37;0;1;0
FD;31;30;1;4;0
FDA;42;41;1;1;0
FE;43;41;2;3;0
FEA;28;26;2;2;0
FF;26;25;1;4;0
FFA;19;10;9;7;2
FG;30;30;0;2;0
FGA;31;30;1;3;0
FH;34;33;1;2;0
FHA;34;33;1;2;0
FI;26;25;1;4;0
FIA;32;28;4;5;0
FJ;33;32;1;1;0
FJA;40;39;1;2;0
FK;42;42;0;2;0
FKA;31;30;1;4;0
FL;27;26;1;3;0
FLA;23;20;3;7;0
FM;41;36;5;3;0
FMA;31;21;10;1;0
FN;49;43;6;3;0
FNA;27;26;1;3;0
FO;57;48;9;1;0
FP;24;22;2;6;0
FQ;25;22;3;5;0
FR;27;26;1;3;0
FS;24;23;1;6;0
FT;74;65;9;2;0
FU;34;33;1;4;0
FV;26;26;0;4;0
FW;46;45;1;1;0
FX;41;40;1;2;0
FY;40;38;2;1;0
FZ;42;41;1;1;0
G;32;32;0;2;0
GA;32;32;0;2;0
GAA;40;39;1;2;0
GB;33;30;3;1;0
GBA;29;28;1;1;0
GC;32;32;0;2;0
GCA;35;34;1;1;0
GD;35;34;1;3;0
GDA;27;25;2;4;0
GE;37;37;0;2;0
GEA;36;35;1;2;0
GF;116;106;10;0;0
GFA;28;27;1;2;0
GG;45;43;2;3;0
GGA;26;25;1;4;0
GH;26;24;2;4;0
GHA;35;34;1;2;0
GI;32;29;3;3;0
GIA;25;25;0;5;0
GJ;45;41;4;0;0
GJA;43;42;1;1;0
GK;176;165;11;2;0
GKA;24;23;1;6;0
GL;37;36;1;2;0
GLA;36;36;0;3;0
GM;32;32;0;3;0
GMA;36;34;2;5;0
GN;81;72;9;1;0
GNA;52;45;7;1;0
GO;44;40;4;1;0
GP;28;26;2;2;0
GQ;29;28;1;3;0
GR;23;21;2;7;0
GS;41;39;2;6;0
GT;52;51;1;3;0
GU;38;36;2;2;0
GV;35;35;0;3;0
GW;31;26;5;4;0
GX;36;31;5;3;0
GY;33;32;1;2;0
GZ;23;21;2;7;0
H;33;32;1;4;0
HA;31;29;2;4;0
HAA;47;43;4;2;0
HB;37;36;1;2;0
HBA;36;35;1;2;0
HC;23;21;2;7;0
HCA;26;26;0;4;0
HD;63;51;12;1;0
HDA;31;31;0;1;0
HE;41;40;1;2;0
HEA;45;44;1;1;0
HF;33;33;0;2;0
HFA;26;25;1;4;0
HG;37;36;1;2;0
HGA;39;37;2;2;0
HH;32;31;1;2;0
HHA;38;37;1;1;0
HI;27;26;1;3;0
HIA;38;38;0;1;0
HJ;38;37;1;2;0
HJA;33;32;1;2;0
HK;27;26;1;3;0
HKA;44;43;1;3;0
HL;37;36;1;1;0
HLA;38;37;1;1;0
HM;39;34;5;6;0
HMA;19;10;9;7;2
HN;42;41;1;1;0
HNA;63;56;7;2;0
HO;57;56;1;2;0
HP;31;30;1;4;0
HQ;33;32;1;2;0
HR;28;28;0;2;0
HS;87;77;10;1;0
HT;36;35;1;2;0
HU;19;10;9;7;2
HV;40;37;3;2;0
HW;28;20;8;7;0
HX;28;27;1;2;0
HY;37;36;1;1;0
HZ;48;44;4;1;0
I;31;31;0;3;0
IA;26;25;1;4;0
IAA;27;26;1;3;0
IB;35;32;3;2;0
IBA;32;32;0;2;0
IC;31;28;3;1;0
ICA;23;21;2;7;0
ID;19;10;9;7;2
IDA;32;31;1;1;0
IE;25;23;2;5;0
IEA;33;31;2;1;0
IF;42;38;4;2;0
IFA;26;25;1;4;0
IG;47;45;2;5;0
IGA;38;37;1;1;0
IH;39;35;4;1;0
IHA;40;39;1;2;0
II;33;31;2;1;0
IIA;34;34;0;2;0
IJ;38;34;4;2;0
IJA;31;30;1;3;0
IK;24;23;1;6;0
IKA;26;24;2;4;0
IL;34;34;0;2;0
ILA;30;29;1;1;0
IM;77;67;10;1;0
IMA;23;20;3;7;0
IN;31;30;1;3;0
INA;19;10;9;7;2
IO;40;39;1;1;0
IP;39;37;2;2;0
IQ;33;32;1;1;0
IR;31;25;6;4;0
IS;54;54;0;2;0
IT;38;37;1;1;0
IU;37;37;0;2;0
IV;26;24;2;4;0
IW;34;32;2;2;0
IX;26;25;1;4;0
IY;42;42;0;1;0
IZ;25;23;2;5;0
J;30;29;1;2;0
JA;34;30;4;2;0
JAA;55;53;2;6;0
JB;26;25;1;4;0
JBA;26;24;2;4;0
JC;37;37;0;1;0
JCA;42;41;1;2;0
JD;34;30;4;1;0
JDA;26;23;3;4;0
JE;38;38;0;1;0
JEA;27;26;1;3;0
JF;26;25;1;4;0
JFA;26;24;2;4;0
JG;34;34;0;2;0
JGA;26;25;1;4;0
JH;30;26;4;1;0
JHA;25;20;5;5;1
JI;26;26;0;4;0
JIA;29;24;5;5;0
JJ;32;31;1;2;0
JJA;28;27;1;4;0
JK;59;48;11;1;0
JKA;33;32;1;3;0
JL;28;27;1;2;0
JLA;58;57;1;2;0
JM;34;33;1;5;0
JMA;41;36;5;2;0
JN;32;31;1;2;0
JNA;19;10;9;7;2
JO;30;29;1;1;0
JP;23;21;2;7;0
JQ;43;41;2;3;0
JR;39;38;1;1;0
JS;87;86;1;3;0
JT;36;35;1;3;0
JU;39;36;3;2;0
JV;37;37;0;2;0
JW;38;37;1;1;0
JX;39;34;5;1;0
JY;43;41;2;1;0
JZ;30;29;1;4;0
K;38;37;1;1;0
KA;40;40;0;2;0
KAA;21;12;9;5;2
KB;29;29;0;1;0
KBA;37;36;1;2;0
KC;34;34;0;2;0
KCA;31;27;4;3;0
KD;38;30;8;0;0
KDA;19;10;9;7;2
KE;38;38;0;1;0
KEA;26;25;1;4;0
KF;37;36;1;2;0
KFA;36;35;1;1;0
KG;40;36;4;2;0
KGA;24;22;2;6;0
KH;32;32;0;2;0
KHA;28;26;2;2;0
KI;38;37;1;1;0
KIA;34;34;0;2;0
KJ;28;27;1;3;0
KJA;23;11;12;7;0
KK;36;35;1;2;0
KKA;34;33;1;1;0
KL;23;20;3;7;0
KLA;36;35;1;2;0
KM;294;240;54;0;0
KMA;47;46;1;3;0
KN;34;28;6;2;0
KNA;37;36;1;2;0
KO;40;38;2;2;0
KP;28;24;4;2;0
KQ;32;30;2;4;0
KR;27;26;1;3;0
KS;49;49;0;1;0
KT;33;32;1;2;0
KU;26;26;0;4;0
KV;26;23;3;4;0
KW;32;31;1;1;0
KX;58;43;15;5;1
KY;23;21;2;7;0
KZ;40;34;6;2;0
L;37;36;1;1;0
LA;23;21;2;7;0
LAA;26;26;0;4;0
LB;44;43;1;3;0
LBA;44;44;0;3;0
LC;49;48;1;2;0
LCA;26;25;1;4;0
LD;36;35;1;2;0
LDA;37;37;0;2;0
LE;31;31;0;3;0
LEA;63;58;5;2;0
LF;23;21;2;7;0
LFA;28;27;1;2;0
LG;76;64;12;1;0
LGA;27;22;5;3;0
LH;45;43;2;5;0
LHA;33;33;0;2;0
LI;34;33;1;1;0
LIA;65;61;4;0;0
LJ;65;59;6;3;0
LJA;26;25;1;4;0
