Name;Insertions;Deletions;Fitness
A;2;1;0.93
AA;0;0;1.00
AAA;0;0;1.00
AB;0;0;1.00
ABA;0;0;1.00
AC;0;0;1.00
ACA;0;0;1.00
AD;0;3;0.95
ADA;0;0;1.00
AE;0;0;1.00
AEA;0;0;1.00
AF;1;1;0.94
AFA;1;0;0.96
AG;3;1;0.67
AGA;0;0;1.00
AH;0;0;1.00
AHA;0;0;1.00
AI;0;0;1.00
AIA;1;0;0.97
AJ;0;0;1.00
AJA;4;1;0.62
AK;0;0;1.00
AKA;4;0;0.60
AL;1;0;0.97
ALA;0;0;1.00
AM;2;0;0.83
AMA;2;0;0.90
AN;0;0;1.00
ANA;2;0;0.90
AO;3;0;0.82
AP;0;0;1.00
AQ;0;0;1.00
AR;0;0;1.00
AS;0;3;0.93
AT;0;0;1.00
AU;0;0;1.00
AV;3;1;0.82
AW;0;0;1.00
AX;1;0;0.92
AY;2;0;0.96
AZ;0;0;1.00
B;2;0;0.92
BA;0;0;1.00
BAA;0;0;1.00
BB;1;0;0.92
BBA;0;0;1.00
BC;2;0;0.83
BCA;0;2;0.94
BD;0;0;1.00
BDA;0;0;1.00
BE;0;0;1.00
BEA;4;2;0.67
BF;0;0;1.00
BFA;0;3;0.92
BG;2;0;0.91
BGA;2;1;0.88
BH;0;1;0.97
BHA;0;0;1.00
BI;1;0;0.95
BIA;0;7;0.89
BJ;0;2;0.95
BJA;0;1;0.97
BK;0;0;1.00
BKA;0;0;1.00
BL;1;1;0.91
BLA;0;0;1.00
BM;2;0;0.90
BMA;0;0;1.00
BN;0;0;1.00
BNA;2;0;0.88
BO;1;0;0.92
BP;1;1;0.95
BQ;0;0;1.00
BR;0;0;1.00
BS;0;0;1.00
BT;0;0;1.00
BU;0;0;1.00
BV;0;0;1.00
BW;0;2;0.95
BX;1;0;0.97
BY;1;0;0.92
BZ;0;0;1.00
C;1;0;0.97
CA;0;0;1.00
CAA;0;1;0.93
CB;0;0;1.00
CBA;0;3;0.92
CC;0;0;1.00
CCA;0;0;1.00
CD;0;0;1.00
CDA;4;0;0.60
CE;0;0;1.00
CEA;1;0;0.97
CF;0;0;1.00
CFA;0;0;1.00
CG;0;0;1.00
CGA;1;0;0.95
CH;0;0;1.00
CHA;0;0;1.00
CI;0;0;1.00
CIA;2;0;0.83
CJ;0;4;0.91
CJA;2;0;0.89
CK;2;0;0.83
CKA;0;1;0.97
CL;3;0;0.73
CLA;2;0;0.89
CM;0;0;1.00
CMA;0;0;1.00
CN;0;0;1.00
CNA;2;0;0.94
CO;3;1;0.78
CP;0;0;1.00
CQ;1;1;0.92
CR;0;0;1.00
CS;0;0;1.00
CT;0;0;1.00
CU;1;0;0.96
CV;0;0;1.00
CW;2;1;0.90
CX;0;0;1.00
CY;0;3;0.95
CZ;0;7;0.90
D;0;0;1.00
DA;0;0;1.00
DAA;1;0;0.97
DB;0;0;1.00
DBA;1;0;0.97
DC;0;0;1.00
DCA;0;0;1.00
DD;1;0;0.94
DDA;0;0;1.00
DE;2;0;0.83
DEA;0;0;1.00
DF;3;0;0.77
DFA;2;0;0.91
DG;0;0;1.00
DGA;0;0;1.00
DH;1;0;0.97
DHA;2;0;0.89
DI;0;0;1.00
DIA;2;0;0.83
DJ;0;2;0.95
DJA;1;0;0.95
DK;2;1;0.89
DKA;1;0;0.97
DL;0;0;1.00
DLA;2;0;0.89
DM;2;0;0.89
DMA;4;0;0.60
DN;2;0;0.83
DNA;0;0;1.00
DO;1;0;0.97
DP;0;0;1.00
DQ;0;0;1.00
DR;0;0;1.00
DS;0;1;0.97
DT;1;0;0.95
DU;0;0;1.00
DV;0;0;1.00
DW;1;0;0.96
DX;2;2;0.85
DY;0;0;1.00
DZ;0;5;0.92
E;0;0;1.00
EA;0;0;1.00
EAA;1;0;0.97
EB;0;0;1.00
EBA;0;0;1.00
EC;0;0;1.00
ECA;0;1;0.97
ED;0;2;0.97
EDA;0;0;1.00
EE;2;0;0.88
EEA;0;0;1.00
EF;2;1;0.90
EFA;1;0;0.92
EG;3;0;0.77
EGA;0;0;1.00
EH;0;0;1.00
EHA;0;4;0.93
EI;0;0;1.00
EIA;0;0;1.00
EJ;1;0;0.96
EJA;3;1;0.80
EK;0;2;0.95
EKA;0;0;1.00
EL;0;0;1.00
ELA;1;1;0.95
EM;0;3;0.95
EMA;0;0;1.00
EN;0;0;1.00
ENA;2;0;0.83
EO;0;0;1.00
EP;0;0;1.00
EQ;0;0;1.00
