Name;Insertions;Deletions;Fitness
A;1;1;0.95
AA;0;0;1.00
AAA;0;0;1.00
AB;0;0;1.00
ABA;0;0;1.00
AC;0;0;1.00
ACA;0;0;1.00
AD;0;3;0.95
ADA;0;0;1.00
AE;0;0;1.00
AEA;0;0;1.00
AF;1;1;0.94
AFA;0;0;1.00
AG;1;1;0.80
AGA;0;0;1.00
AH;0;0;1.00
AHA;0;0;1.00
AI;0;0;1.00
AIA;0;0;1.00
AJ;0;0;1.00
AJA;2;1;0.73
AK;0;0;1.00
AKA;2;0;0.75
AL;0;0;1.00
ALA;0;0;1.00
AM;0;0;1.00
AMA;0;0;1.00
AN;0;0;1.00
ANA;0;0;1.00
AO;1;0;0.93
AP;0;0;1.00
AQ;0;0;1.00
AR;0;0;1.00
AS;0;3;0.93
AT;0;0;1.00
AU;0;0;1.00
AV;2;1;0.86
AW;0;0;1.00
AX;0;0;1.00
AY;0;0;1.00
AZ;0;0;1.00
B;1;0;0.96
BA;0;0;1.00
BAA;0;0;1.00
BB;0;0;1.00
BBA;0;0;1.00
BC;0;0;1.00
BCA;0;2;0.94
BD;0;0;1.00
BDA;0;0;1.00
BE;0;0;1.00
BEA;3;2;0.71
BF;0;0;1.00
BFA;0;3;0.92
BG;0;0;1.00
BGA;1;1;0.92
BH;0;1;0.97
BHA;0;0;1.00
BI;1;0;0.95
BIA;0;7;0.89
BJ;0;2;0.95
BJA;0;1;0.97
BK;0;0;1.00
BKA;0;0;1.00
BL;0;1;0.95
BLA;0;0;1.00
BM;1;0;0.95
BMA;0;0;1.00
BN;0;0;1.00
BNA;0;0;1.00
BO;0;0;1.00
BP;0;1;0.98
BQ;0;0;1.00
BR;0;0;1.00
BS;0;0;1.00
BT;0;0;1.00
BU;0;0;1.00
BV;0;0;1.00
BW;0;2;0.95
BX;0;0;1.00
BY;0;0;1.00
BZ;0;0;1.00
C;0;0;1.00
CA;0;0;1.00
CAA;0;1;0.93
CB;0;0;1.00
CBA;0;3;0.92
CC;0;0;1.00
CCA;0;0;1.00
CD;0;0;1.00
CDA;2;0;0.75
CE;0;0;1.00
CEA;0;0;1.00
CF;0;0;1.00
CFA;0;0;1.00
CG;0;0;1.00
CGA;0;0;1.00
CH;0;0;1.00
CHA;0;0;1.00
CI;0;0;1.00
CIA;0;0;1.00
CJ;0;4;0.91
CJA;0;0;1.00
CK;0;0;1.00
CKA;0;1;0.97
CL;1;0;0.89
CLA;1;0;0.94
CM;0;0;1.00
CMA;0;0;1.00
CN;0;0;1.00
CNA;0;0;1.00
CO;2;1;0.82
CP;0;0;1.00
CQ;1;1;0.92
CR;0;0;1.00
CS;0;0;1.00
CT;0;0;1.00
CU;0;0;1.00
CV;0;0;1.00
CW;1;1;0.93
CX;0;0;1.00
CY;0;3;0.95
CZ;0;7;0.90
D;0;0;1.00
DA;0;0;1.00
DAA;0;0;1.00
DB;0;0;1.00
DBA;0;0;1.00
DC;0;0;1.00
DCA;0;0;1.00
DD;0;0;1.00
DDA;0;0;1.00
DE;0;0;1.00
DEA;0;0;1.00
DF;1;0;0.91
DFA;0;0;1.00
DG;0;0;1.00
DGA;0;0;1.00
DH;0;0;1.00
DHA;0;0;1.00
DI;0;0;1.00
DIA;0;0;1.00
DJ;0;2;0.95
DJA;0;0;1.00
DK;1;1;0.92
DKA;0;0;1.00
DL;0;0;1.00
DLA;1;0;0.94
DM;1;0;0.94
DMA;2;0;0.75
DN;0;0;1.00
DNA;0;0;1.00
DO;0;0;1.00
DP;0;0;1.00
DQ;0;0;1.00
DR;0;0;1.00
DS;0;1;0.97
DT;0;0;1.00
DU;0;0;1.00
DV;0;0;1.00
DW;0;0;1.00
DX;1;2;0.88
DY;0;0;1.00
DZ;0;5;0.92
E;0;0;1.00
EA;0;0;1.00
EAA;0;0;1.00
EB;0;0;1.00
EBA;0;0;1.00
EC;0;0;1.00
ECA;0;1;0.97
ED;0;2;0.97
EDA;0;0;1.00
EE;0;0;1.00
EEA;0;0;1.00
